x;y;g;t;n;c;b;n;t;s;n;d;edible
x;f;n;t;n;c;b;n;t;s;n;d;edible
f;s;w;f;n;w;b;k;t;f;n;g;edible
f;y;w;t;p;c;n;p;e;s;n;g;poisonous
f;y;n;t;p;c;n;k;e;s;n;g;poisonous
x;s;w;f;n;w;b;p;t;s;n;g;edible
f;s;n;t;p;c;n;k;e;s;n;g;poisonous
f;f;n;f;n;w;b;h;t;f;k;g;edible
f;s;w;f;n;w;b;h;t;s;n;g;edible
f;s;n;t;p;c;n;w;e;s;k;g;poisonous
f;y;w;t;p;c;n;p;e;s;k;g;poisonous
f;y;n;t;p;c;n;w;e;s;k;g;poisonous
f;s;w;t;p;c;n;k;e;s;k;g;poisonous
x;s;w;f;n;w;b;k;t;f;k;g;edible
x;f;n;t;n;c;b;p;t;s;n;d;edible
f;s;w;f;n;w;b;k;t;f;n;g;edible
f;f;g;f;n;w;b;p;t;s;k;g;edible
f;y;n;t;p;c;n;k;e;s;k;u;poisonous
x;s;w;f;n;w;b;k;t;f;n;g;edible
x;y;e;t;n;c;b;n;t;s;n;d;edible
f;s;g;f;n;w;b;n;t;s;k;g;edible
x;s;w;f;n;w;b;n;t;f;n;g;edible
f;s;w;t;p;c;n;p;e;s;n;g;poisonous
f;f;n;f;n;w;b;k;t;s;n;g;edible
x;f;w;f;n;w;b;h;t;s;k;g;edible
f;s;w;t;p;c;n;k;e;s;k;u;poisonous
x;f;n;f;n;w;b;p;t;f;n;g;edible
f;f;w;f;n;w;b;n;t;s;n;g;edible
x;s;w;f;n;w;b;h;t;s;k;g;edible
f;s;w;f;n;w;b;h;t;s;n;g;edible
b;y;y;t;a;c;b;w;e;s;k;m;edible
x;s;g;f;n;w;b;n;t;s;n;g;edible
x;f;w;f;n;w;b;n;t;f;k;g;edible
x;s;n;f;n;w;b;n;t;s;n;g;edible
x;f;n;f;n;w;b;n;t;s;k;g;edible
f;f;g;f;n;w;b;h;t;f;k;g;edible
x;y;n;t;p;c;n;n;e;s;k;u;poisonous
f;s;g;f;n;w;b;h;t;s;k;g;edible
x;f;n;t;n;c;b;p;t;s;k;d;edible
f;s;w;f;n;w;b;n;t;f;k;g;edible
x;f;n;t;n;c;b;n;t;s;k;d;edible
x;f;g;f;n;w;b;p;t;s;n;g;edible
x;f;w;f;n;w;b;n;t;f;k;g;edible
f;s;w;t;p;c;n;k;e;s;n;g;poisonous
f;s;w;t;p;c;n;p;e;s;k;g;poisonous
x;s;g;f;n;w;b;k;t;s;n;g;edible
x;f;n;t;n;c;b;u;t;s;n;d;edible
x;s;g;f;n;w;b;k;t;f;k;g;edible
x;y;y;t;a;c;b;w;e;y;k;p;edible
f;s;w;f;n;w;b;n;t;s;n;g;edible
x;s;w;f;n;w;b;p;t;s;n;g;edible
x;f;g;f;n;w;b;k;t;s;k;g;edible
f;s;w;f;n;w;b;h;t;f;n;g;edible
x;f;n;t;n;c;b;n;t;s;n;d;edible
f;s;g;f;n;w;b;k;t;f;n;g;edible
f;s;g;f;n;w;b;h;t;s;n;g;edible
f;f;n;f;n;w;b;p;t;s;n;g;edible
f;s;w;f;n;w;b;k;t;f;n;g;edible
f;s;w;f;n;w;b;h;t;s;n;g;edible
f;s;g;f;n;w;b;p;t;s;n;g;edible
f;f;w;f;n;w;b;n;t;f;n;g;edible
f;s;n;f;n;w;b;p;t;f;n;g;edible
f;s;w;t;p;c;n;k;e;s;n;g;poisonous
x;f;g;f;n;w;b;n;t;s;n;g;edible
b;y;y;t;l;c;b;k;e;s;k;g;edible
f;f;n;f;n;w;b;k;t;f;n;g;edible
f;s;g;f;n;w;b;k;t;s;n;g;edible
x;f;n;t;n;c;b;n;t;s;k;d;edible
b;s;y;t;l;c;b;n;e;s;k;m;edible
x;s;w;f;n;w;b;p;t;s;k;g;edible
f;f;n;t;n;c;b;n;t;s;n;d;edible
x;s;w;t;p;c;n;n;e;s;n;g;poisonous
f;f;w;f;n;w;b;n;t;s;k;g;edible
f;y;w;t;p;c;n;k;e;s;n;u;poisonous
x;s;n;f;n;w;b;k;t;s;n;g;edible
f;s;n;f;n;w;b;n;t;f;k;g;edible
b;s;y;t;l;c;b;g;e;s;k;g;edible
f;s;g;f;n;w;b;k;t;f;n;g;edible
x;s;g;f;n;w;b;k;t;f;n;g;edible
f;f;g;f;n;w;b;k;t;f;k;g;edible
x;f;g;f;n;w;b;k;t;s;k;g;edible
f;s;w;f;n;w;b;n;t;s;k;g;edible
f;s;n;t;p;c;n;k;e;s;k;g;poisonous
f;f;g;f;n;w;b;p;t;f;n;g;edible
f;s;w;f;n;w;b;h;t;s;k;g;edible
x;f;n;t;n;c;b;n;t;s;k;d;edible
x;s;n;f;n;w;b;p;t;f;n;g;edible
x;f;e;t;n;c;b;u;t;s;n;d;edible
x;y;y;t;a;c;b;n;e;s;n;g;edible
f;f;w;f;n;w;b;k;t;s;k;g;edible
x;s;w;f;n;w;b;n;t;f;k;g;edible
f;f;n;f;n;w;b;h;t;s;n;g;edible
f;s;w;t;p;c;n;w;e;s;k;u;poisonous
f;f;g;t;n;c;b;n;t;s;n;d;edible
f;s;w;f;n;w;b;n;t;s;n;g;edible
f;f;w;f;n;w;b;h;t;f;k;g;edible
f;y;n;t;p;c;n;k;e;s;n;g;poisonous
x;s;w;f;n;w;b;p;t;f;k;g;edible
x;f;n;t;n;c;b;p;t;s;n;d;edible
x;y;g;t;n;c;b;u;t;s;n;d;edible
x;y;g;t;n;c;b;p;t;s;n;d;edible
f;s;n;f;n;w;b;k;t;f;n;g;edible
f;s;w;f;n;w;b;h;t;f;n;g;edible
f;s;n;f;n;w;b;k;t;f;n;g;edible
x;s;n;f;n;w;b;p;t;f;k;g;edible
f;f;w;f;n;w;b;h;t;f;k;g;edible
x;f;n;f;n;w;b;n;t;f;k;g;edible
f;f;w;f;n;w;b;p;t;s;k;g;edible
f;f;n;f;n;w;b;n;t;s;n;g;edible
f;s;w;f;n;w;b;n;t;s;k;g;edible
f;f;n;f;n;w;b;p;t;s;n;g;edible
f;y;n;t;p;c;n;w;e;s;k;u;poisonous
f;f;w;f;n;w;b;k;t;s;k;g;edible
f;s;w;f;n;w;b;p;t;f;n;g;edible
x;f;n;f;n;w;b;k;t;f;n;g;edible
f;f;w;f;n;w;b;p;t;f;n;g;edible
x;f;g;f;n;w;b;n;t;f;k;g;edible
f;s;n;f;n;w;b;p;t;s;n;g;edible
x;f;g;t;n;c;b;n;t;s;k;d;edible
f;f;w;f;n;w;b;n;t;s;n;g;edible
f;f;n;f;n;w;b;p;t;f;k;g;edible
x;s;n;f;n;w;b;p;t;s;k;g;edible
x;f;w;f;n;w;b;h;t;f;k;g;edible
b;s;y;t;l;c;b;g;e;s;k;g;edible
x;y;n;t;p;c;n;p;e;s;k;g;poisonous
f;s;n;t;p;c;n;p;e;s;k;g;poisonous
f;f;w;f;n;w;b;k;t;f;k;g;edible
f;f;n;f;n;w;b;k;t;s;k;g;edible
f;y;n;t;p;c;n;k;e;s;k;g;poisonous
f;f;n;f;n;w;b;p;t;f;k;g;edible
x;s;w;t;p;c;n;n;e;s;n;u;poisonous
f;s;n;f;n;w;b;k;t;s;n;g;edible
f;y;w;t;p;c;n;n;e;s;n;u;poisonous
f;s;n;f;n;w;b;n;t;s;k;g;edible
f;s;g;f;n;w;b;h;t;f;k;g;edible
x;f;g;f;n;w;b;h;t;f;k;g;edible
f;f;n;f;n;w;b;k;t;s;n;g;edible
x;f;g;t;n;c;b;w;t;s;n;d;edible
x;f;n;t;n;c;b;p;t;s;k;d;edible
x;f;n;f;n;w;b;k;t;f;n;g;edible
x;f;g;t;n;c;b;w;t;s;k;d;edible
x;s;w;f;n;w;b;h;t;s;n;g;edible
f;s;w;f;n;w;b;h;t;f;k;g;edible
x;s;w;f;n;w;b;p;t;s;k;g;edible
f;f;g;f;n;w;b;k;t;f;k;g;edible
x;f;n;t;n;c;b;p;t;s;n;d;edible
x;s;w;f;n;w;b;k;t;f;n;g;edible
x;s;n;f;n;w;b;h;t;s;k;g;edible
f;s;g;f;n;w;b;p;t;f;n;g;edible
f;y;w;t;p;c;n;k;e;s;n;g;poisonous
f;s;n;f;n;w;b;k;t;f;k;g;edible
f;y;y;t;a;c;b;p;e;y;n;g;edible
x;f;g;t;n;c;b;n;t;s;k;d;edible
f;s;g;f;n;w;b;n;t;s;n;g;edible
x;s;g;f;n;w;b;h;t;s;n;g;edible
f;y;w;t;p;c;n;p;e;s;n;u;poisonous
x;s;w;f;n;w;b;h;t;f;k;g;edible
x;s;w;f;n;w;b;p;t;s;k;g;edible
f;s;g;f;n;w;b;n;t;s;k;g;edible
f;s;n;f;n;w;b;n;t;s;n;g;edible
x;f;n;f;n;w;b;k;t;f;k;g;edible
f;s;n;f;n;w;b;p;t;f;k;g;edible
f;s;n;f;n;w;b;n;t;f;n;g;edible
x;f;w;f;n;w;b;n;t;f;n;g;edible
f;f;w;f;n;w;b;k;t;s;n;g;edible
f;f;n;f;n;w;b;h;t;f;k;g;edible
x;y;w;t;l;c;b;g;e;s;n;m;edible
x;s;n;f;n;w;b;n;t;s;k;g;edible
x;s;g;f;n;w;b;h;t;f;n;g;edible
f;s;w;f;n;w;b;k;t;s;k;g;edible
x;s;w;t;p;c;n;w;e;s;n;u;poisonous
x;s;w;f;n;w;b;p;t;f;k;g;edible
x;f;n;t;n;c;b;n;t;s;n;d;edible
f;f;g;f;n;w;b;n;t;s;n;g;edible
x;s;g;f;n;w;b;n;t;f;k;g;edible
f;f;n;f;n;w;b;n;t;s;n;g;edible
f;s;n;f;n;w;b;p;t;s;n;g;edible
x;s;g;f;n;w;b;h;t;f;k;g;edible
f;y;n;t;l;c;b;n;e;y;k;p;edible
f;y;n;t;p;c;n;p;e;s;k;u;poisonous
x;s;n;f;n;w;b;p;t;f;n;g;edible
x;f;n;t;n;c;b;p;t;s;k;d;edible
f;y;w;t;p;c;n;w;e;s;k;g;poisonous
x;s;w;t;p;c;n;p;e;s;k;u;poisonous
f;s;n;t;p;c;n;p;e;s;n;u;poisonous
x;f;n;t;n;c;b;u;t;s;k;d;edible
b;y;w;t;l;c;b;g;e;s;k;m;edible
f;y;w;t;p;c;n;k;e;s;k;g;poisonous
f;f;w;f;n;w;b;p;t;f;k;g;edible
x;s;w;f;n;w;b;n;t;s;n;g;edible
x;f;n;t;n;c;b;n;t;s;k;d;edible
x;s;n;f;n;w;b;h;t;s;k;g;edible
f;f;n;f;n;w;b;p;t;s;k;g;edible
f;f;n;f;n;w;b;n;t;f;n;g;edible
f;y;n;t;p;c;n;p;e;s;n;u;poisonous
f;y;w;t;p;c;n;w;e;s;k;g;poisonous
x;s;n;f;n;w;b;p;t;f;k;g;edible
f;f;g;f;n;w;b;p;t;f;n;g;edible
x;f;n;t;n;c;b;n;t;s;k;d;edible
f;s;g;f;n;w;b;k;t;s;n;g;edible
f;f;n;f;n;w;b;h;t;s;k;g;edible
f;s;n;t;p;c;n;k;e;s;n;u;poisonous
x;f;n;f;n;w;b;n;t;f;n;g;edible
f;y;n;t;p;c;n;p;e;s;n;g;poisonous
x;s;g;f;n;w;b;n;t;f;k;g;edible
f;f;w;f;n;w;b;p;t;f;k;g;edible
x;s;w;f;n;w;b;n;t;s;n;g;edible
x;f;n;t;n;c;b;n;t;s;n;d;edible
x;s;n;f;n;w;b;h;t;s;n;g;edible
f;s;w;t;p;c;n;k;e;s;n;u;poisonous
x;f;n;t;n;c;b;p;t;s;n;d;edible
x;s;w;f;n;w;b;n;t;f;k;g;edible
f;s;w;f;n;w;b;k;t;s;k;g;edible
x;s;w;t;a;w;n;n;t;s;u;d;edible
x;f;n;f;n;w;b;p;t;f;n;g;edible
x;y;g;t;n;c;b;p;t;s;k;d;edible
x;f;n;t;n;c;b;n;t;s;n;d;edible
x;s;y;t;a;w;n;p;t;s;u;d;edible
f;f;g;f;n;w;b;h;t;s;k;g;edible
x;s;n;f;n;w;b;n;t;s;k;g;edible
x;y;e;t;n;c;b;u;t;s;n;d;edible
f;s;g;f;n;w;b;p;t;f;k;g;edible
f;s;w;t;p;c;n;n;e;s;k;u;poisonous
f;f;w;f;n;w;b;p;t;f;n;g;edible
x;f;g;f;n;w;b;h;t;s;n;g;edible
f;f;n;f;n;w;b;k;t;f;n;g;edible
f;s;n;f;n;w;b;p;t;f;k;g;edible
x;f;w;f;n;w;b;k;t;f;n;g;edible
f;y;w;t;p;c;n;p;e;s;k;g;poisonous
x;f;w;f;n;w;b;k;t;s;n;g;edible
f;s;n;f;n;w;b;k;t;f;n;g;edible
x;s;n;f;n;w;b;n;t;s;k;g;edible
x;f;g;f;n;w;b;p;t;s;k;g;edible
x;s;n;f;n;w;b;k;t;s;k;g;edible
f;y;y;t;l;c;b;n;e;y;k;g;edible
x;y;n;t;p;c;n;n;e;s;k;u;poisonous
x;f;w;f;n;w;b;p;t;f;k;g;edible
f;s;w;f;n;w;b;k;t;f;k;g;edible
x;s;n;f;n;w;b;h;t;f;n;g;edible
f;y;n;t;p;c;n;p;e;s;n;g;poisonous
f;f;g;f;n;w;b;p;t;s;k;g;edible
f;s;w;t;p;c;n;p;e;s;n;u;poisonous
f;s;n;f;n;w;b;n;t;s;k;g;edible
x;s;g;f;n;w;b;p;t;s;k;g;edible
x;f;g;f;n;w;b;n;t;s;k;g;edible
f;f;n;f;n;w;b;n;t;s;k;g;edible
f;s;g;f;n;w;b;h;t;f;n;g;edible
x;s;w;f;n;w;b;p;t;f;n;g;edible
x;f;n;f;n;w;b;k;t;f;k;g;edible
x;f;g;f;n;w;b;p;t;f;k;g;edible
